latitude,longitude,town,postcode,epci,county,weight
45.64832,0.13597,11.0,16000.0,14.0,1.0,29.285913750441853
45.76383,0.028800000000000003,256.0,16570.0,74.0,1.0,27.55371155885472
45.69571,0.08801,107.0,16730.0,14.0,1.0,29.242435489572287
45.61664,0.13379000000000002,140.0,16400.0,14.0,1.0,29.271420996818666
45.67396,-0.1686,117.0,16200.0,15.0,1.0,28.236638388123012
45.71975,-0.17291,173.0,16200.0,15.0,1.0,28.23953693884765
45.61763,0.13112000000000001,140.0,16400.0,14.0,1.0,29.271420996818666
46.05569,0.34956000000000004,158.0,16350.0,47.0,1.0,27.651272534464475
45.61652,0.13319,140.0,16400.0,14.0,1.0,29.271420996818666
46.14066,-0.91295,253.0,17220.0,10.0,2.0,5.629780841286673
45.57506,0.22372000000000003,321.0,16410.0,14.0,1.0,29.254029692470837
45.92334,0.49688000000000004,264.0,16450.0,47.0,1.0,27.659968186638388
45.67524,0.21965,244.0,16600.0,14.0,1.0,29.259826793920112
45.92628,0.48196000000000006,264.0,16450.0,47.0,1.0,27.659968186638388
45.93202,0.4303,227.0,16450.0,47.0,1.0,27.651272534464475
45.66065,0.20924,134.0,16340.0,14.0,1.0,29.23953693884765
45.64468,0.18155000000000002,313.0,16800.0,14.0,1.0,29.26272534464475
45.75721,-0.41443,289.0,16370.0,15.0,1.0,28.23953693884765
45.61719,0.07339000000000001,140.0,16400.0,14.0,1.0,29.271420996818666
45.61807,-0.21903000000000003,306.0,16130.0,15.0,1.0,28.248232591021562
45.2286,0.17086,280.0,24410.0,72.0,6.0,1.7923824673029338
45.22896,0.17152,280.0,24410.0,72.0,6.0,1.7923824673029338
45.6459,0.11088,273.0,16470.0,14.0,1.0,29.242435489572287
45.6744,0.26245,210.0,16600.0,14.0,1.0,29.259826793920112
45.3486,-0.0391,228.0,16480.0,59.0,1.0,27.59029692470838
45.67519,-0.27444,114.0,16130.0,15.0,1.0,28.242435489572287
45.6149,0.13355,140.0,16400.0,14.0,1.0,29.271420996818666
45.61593,0.13240000000000002,140.0,16400.0,14.0,1.0,29.271420996818666
45.64754,0.49061000000000005,206.0,16220.0,30.0,1.0,27.651272534464475
45.64206,0.1883,313.0,16800.0,14.0,1.0,29.26272534464475
45.64436,-0.20408,190.0,16200.0,15.0,1.0,28.236638388123012
44.82664,-0.7911,197.0,33127.0,1.0,7.0,22.766525273948393
45.63392,-0.38442000000000004,115.0,16130.0,15.0,1.0,28.245334040296925
45.69012,-0.20786000000000002,74.0,16200.0,15.0,1.0,28.236638388123012
44.84755,0.8544600000000001,160.0,24480.0,60.0,6.0,1.7923824673029338
45.58828,0.10774,140.0,16400.0,14.0,1.0,29.271420996818666
46.02534,0.13514,141.0,16700.0,43.0,1.0,27.52932131495228
45.67467,0.11115000000000001,107.0,16730.0,14.0,1.0,29.242435489572287
44.82174,0.80742,203.0,24480.0,60.0,6.0,1.7894839165782963
44.84824,0.85096,160.0,24480.0,60.0,6.0,1.7923824673029338
45.58929,-0.07304000000000001,80.0,16120.0,15.0,1.0,28.236638388123012
45.41643,-0.19515000000000002,236.0,16360.0,59.0,1.0,27.59029692470838
45.67718,0.061770000000000005,107.0,16730.0,14.0,1.0,29.242435489572287
45.63908,0.234,189.0,16600.0,14.0,1.0,29.245334040296925
45.66862,0.28358,210.0,16600.0,14.0,1.0,29.259826793920112
45.58382,0.35821000000000003,340.0,16410.0,14.0,1.0,29.236638388123012
45.67447,0.31069,210.0,16110.0,14.0,1.0,29.259826793920112
45.692,0.024120000000000003,103.0,16290.0,74.0,1.0,27.556610109579356
45.63698,0.22454000000000002,313.0,16800.0,14.0,1.0,29.26272534464475
45.7099,0.15854000000000001,67.0,16430.0,14.0,1.0,29.26852244609403
45.7919,-0.13814,309.0,16170.0,74.0,1.0,27.556610109579356
45.93499,0.46498000000000006,264.0,16450.0,47.0,1.0,27.659968186638388
45.64783,0.1904,313.0,16800.0,14.0,1.0,29.26272534464475
45.7893,-0.13601000000000002,309.0,16170.0,74.0,1.0,27.556610109579356
45.64761,0.18938000000000002,313.0,16800.0,14.0,1.0,29.26272534464475
45.85536,0.38301,147.0,16260.0,27.0,1.0,27.700053022269355
45.67444,-0.29660000000000003,79.0,16100.0,15.0,1.0,28.242435489572287
44.84776,-0.7604000000000001,197.0,33127.0,1.0,7.0,22.766525273948393
45.70554,-0.34756000000000004,84.0,16100.0,15.0,1.0,28.23953693884765
45.47079,0.24147000000000002,238.0,16320.0,32.0,1.0,27.641975963237893
44.82932,-0.777,197.0,33127.0,1.0,7.0,22.766525273948393
45.55569,-0.00415,240.0,16440.0,14.0,1.0,29.242435489572287
45.94924,0.85945,46.0,16420.0,47.0,1.0,27.659968186638388
45.94492,0.8585100000000001,46.0,16420.0,47.0,1.0,27.659968186638388
45.56214,0.019370000000000002,240.0,16440.0,14.0,1.0,29.242435489572287
45.66409,0.17092000000000002,116.0,16160.0,14.0,1.0,29.26852244609403
45.64493,0.11378,11.0,16000.0,14.0,1.0,29.285913750441853
45.64507,0.11330000000000001,11.0,16000.0,14.0,1.0,29.285913750441853
45.6456,0.11534000000000001,11.0,16000.0,14.0,1.0,29.285913750441853
45.8433,0.15021,61.0,16230.0,27.0,1.0,27.700053022269355
45.68799,-0.07466,218.0,16200.0,15.0,1.0,28.254029692470837
45.68868,-0.07495,218.0,16200.0,15.0,1.0,28.254029692470837
45.06443,-0.5397200000000001,152.0,33710.0,68.0,7.0,21.76712619300106
45.73648,-0.25355,246.0,16200.0,15.0,1.0,28.23953693884765
45.68845,-0.07612000000000001,218.0,16200.0,15.0,1.0,28.254029692470837
45.71537,0.26397000000000004,45.0,16590.0,14.0,1.0,29.26272534464475
45.620400000000004,-0.11128,119.0,16120.0,15.0,1.0,28.236638388123012
45.71409,0.26496000000000003,45.0,16590.0,14.0,1.0,29.26272534464475
45.79037,0.19132000000000002,323.0,16560.0,27.0,1.0,27.70585012371863
45.73788,0.38999000000000006,144.0,16110.0,30.0,1.0,27.651272534464475
45.71514,0.35782,281.0,16110.0,30.0,1.0,27.651272534464475
45.62557,0.35608,76.0,16380.0,30.0,1.0,27.665765288087663
45.56921,0.22071000000000002,321.0,16410.0,14.0,1.0,29.254029692470837
45.9631,0.2026,335.0,16510.0,43.0,1.0,27.538016967126193
45.71635,-0.395,184.0,16100.0,15.0,1.0,28.245334040296925
45.48058,-0.1625,25.0,16300.0,59.0,1.0,27.59029692470838
45.63943,-0.37054000000000004,115.0,16130.0,15.0,1.0,28.245334040296925
45.67239,-0.25608000000000003,42.0,16200.0,15.0,1.0,28.23953693884765
45.68359,-0.30311000000000005,79.0,16100.0,15.0,1.0,28.242435489572287
45.43542,0.20763,238.0,16320.0,32.0,1.0,27.641975963237893
45.93766,0.8767300000000001,46.0,16420.0,47.0,1.0,27.659968186638388
45.72502,0.27240000000000003,45.0,16590.0,14.0,1.0,29.26272534464475
45.71756,0.2742,45.0,16590.0,14.0,1.0,29.26272534464475
45.72494,0.27178,45.0,16590.0,14.0,1.0,29.26272534464475
45.69021,0.0236,103.0,16290.0,74.0,1.0,27.556610109579356
45.9133,0.20378000000000002,177.0,16460.0,27.0,1.0,27.700053022269355
45.89185,-0.0095,4.0,16140.0,27.0,1.0,27.708748674443267
45.61188,0.24922000000000002,99.0,16410.0,14.0,1.0,29.254029692470837
45.89474,-0.006880000000000001,4.0,16140.0,27.0,1.0,27.708748674443267
45.89508,-0.006500000000000001,4.0,16140.0,27.0,1.0,27.708748674443267
45.52155,0.09316,230.0,16250.0,14.0,1.0,29.236638388123012
45.67426,0.19585000000000002,134.0,16600.0,14.0,1.0,29.23953693884765
45.67634,0.22198,244.0,16600.0,14.0,1.0,29.259826793920112
45.03305,-0.41325,21.0,33240.0,68.0,7.0,21.7700247437257
46.13126,-1.12977,24.0,17440.0,10.0,2.0,5.626882290562036
45.5371,0.23867000000000002,109.0,16410.0,32.0,1.0,27.641975963237893
45.65533,0.18829,11.0,16340.0,14.0,1.0,29.285913750441853
45.6449,0.1057,273.0,16470.0,14.0,1.0,29.242435489572287
